SK_MATRICULA;NM_LOCALIDADE;NM_CATEGORIATARIFARIA;NM_SITUACAO_IMOVEL;NN_MORADORES;ST_PISCINA;LAT_GEO;LONG_GEO;X;Y
88A1506F31FAB3A9843699050F4A5F3309EC477568824D0A23A767385FDDA278;SALVADOR UMB;RESIDENCIAL;HABITADO;18;0;-12.950654;-38.3715;568170.0745346878;8568237.459709737
D421B6A4E64A245C3798550C567D4901990FA0A7C1C5C8304E279B2279D47E94;SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.94619;-38.370547;568274.660510634;8568730.88735927
67E42D1A8C13EC8ABEE74B479EF797FD88F5E177E464CE4C70E5DA81D0C69990;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.945736;-38.370469;568283.2448130418;8568781.075220015
2EB8A0E41413BB7621248F36FE38E2E114E8A5210FE75D26A3C6494B2AB61FF8;SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.946743;-38.369137;568427.453212919;8568669.353193915
721452EFD50BD7328F64DF828F1E35CED5463C0CFFCBB4B007E526EFDE060C7F;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.948782;-38.369077;568433.4050438848;8568443.840328336
EEA948CE20B9D46A99A4D2DAB813056484FA2EDACA9CB0A30E600D5AE8F36104;SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.943115;-38.366099;568757.9808061174;8569069.765686134
5F3C12F427A5DB93832B65DB88E39FE088F3530019D7FF41D57198BC72A99734;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.945109;-38.367315;568625.5333621614;8568849.57206735
D508FE3526FAA6032BD95ECB33ABF379B92C5103038DF14F674D9C2444CB257A;SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.942911;-38.365862;568783.7446054427;8569092.26271013
68E4C3F42067BA928E8B03F3F82E8DBF88A8AA60C840168A71EC79DB98E056C0;SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.940906;-38.365817;568789.1755483047;8569313.987322552
3CEE1CF0020BF1CE24D884DF6F25105DD73B6DAE4CD844F207B3C9DD924768A9;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.941366;-38.366278;568739.0434902441;8569263.238979403
7608D9DC912DE6126E384D5741C47C00CCA432188CDD9F8AE61DCF529A81AC28;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.941685;-38.365759;568795.2533982685;8569227.820656987
3CC339F0C6E54BADA51641A38AB832A8316B8CB047592EDC148253582B60D120;SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.940938;-38.365693;568802.6174237325;8569310.415037032
C8A5985594D7B6EE6E5927789C741701B68F076A0C95B742FD6F72E1FC190150;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.953565;-38.35095;570398.2920106042;8567909.95604443
9CCFB68F531BF86A71576BEC14BC844C82961774DD275EDEACE46E0D486B818F;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.945202;-38.36143;569263.8606377265;8568837.700509079
13FF95B0FE8B43E50D97480F0ECA283CDAC5F7C21DCF4A774BC4C586A4964A1B;SALVADOR UMB;RESIDENCIAL;HABITADO;1;0;-12.937206;-38.363013;569094.3525300309;8569722.42174612
302FACB0D7AF54AAF5C2731340B36DB5FD41A6CB4089D261DE41C9A1054C3F37;SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.940064;-38.364852;568894.0831552086;8569406.846012434
9FF89AA52CE00CC7FB27F23BC74025DE8AAC391B8C790FE85645BECCC2D43F4C;SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.938514;-38.36333;569059.6061706446;8569577.853122944
94F9F91545DB781238946EBEF8E041DED88D4AEE00441F82BFDA45095F780693;SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.9231;-38.357813;569662.3335508568;8571281.021809286
0F2189E3B5BCA9927CFEC8D77761992394155F345E15A9CDF3287F0249A88438;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.924861;-38.358264;569612.920812753;8571086.392118122
501F92C1A4414E45F97B8EA0ADA085F10ED48DC7CEB5FD6EE313E72F4016AFE0;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.925999;-38.357752;569668.1470341035;8570960.39933341
EE8526D82C664524B6B60100D4873BB763BA3D834C57C3789C8521066EB7B843;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.925167;-38.357605;569684.324303511;8571052.37180362
CE45AEA0503A4C51D9ECA590AA935B68DDD05DC8ADBA2F2839E76F5B748C81D4;SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.949678;-38.343932;571160.6227108086;8568337.885130705
1CA8CC4E6FD30F14C895BA155D7810BB6AAC77918B11A356D837340EE618612A;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.950676;-38.356993;569743.625214047;8568231.11348868
BE9DF9495D7B540C905DEAEA759DB0733E3C3AFE0AB4A47ED76A348FA50FA05A;SALVADOR UMB;RESIDENCIAL;HABITADO;3;1;-12.953705;-38.356031;569847.1284098576;8567895.86720126
D7E468CCE0CA8D8D7D1A18B0B3F98AA39DF99DBA6D7B5D953C49FFE51B5D5ED9;SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.951246;-38.352809;570197.2997689659;8568166.930720856
520D58978297A40A2C04229555B99AC73981F51BD610E7EA56646B1868DF1C00;SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.934288;-38.365614;568813.0099635934;8570045.829559958
3348570A3EEF92E81CD84B4D05852D80B197B4CD69C92F1E9DDDEF1DE83E05B0;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.931722;-38.366963;568667.3778227062;8570329.970359476
78ABF7F3F41B6CB9A9D338DC69DB77C6709BCFF0792732BDA04DE0F3D73ABD43;SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.934838;-38.359581;569467.29289473;8569983.37432
1E9ABBCD5B31E82E3CB1B4DBE4AC16E0403B6822B3100C78307AB6636E476271;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.934543;-38.360075;569413.7874561037;8570016.132966742
D468C5EAD16C9D9FE4B08D0D3187A6D24257E973C688F925421ED4EEDE6B7EED;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.933929;-38.359528;569473.2936505261;8570083.88800475
C867D398929710A1F2B4A25294E00CAA23F71D48693A9D05C369BB325AD60486;SALVADOR UMB;RESIDENCIAL;HABITADO;1;0;-12.931946;-38.358175;569620.6116967387;8570302.82422333
38D910290855EB0A052CBF2F3E4CD17BCFFC011AAAF41AFE2986D18079946480;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.95137;-38.359145;569510.0077307734;8568154.948717287
DF66869B80654D9C5784949828E0CE0BF9C3E8E710D8B6DD3774F8D456E8717B;SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.936653;-38.355452;569914.6838118464;8569781.525498802
5A53516E4458BCFD257F43C2C545C6A17023D858DF8A91172E0DEDCDE33F8E8E;SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.934924;-38.365115;568866.9649484586;8569975.35894825
448FEA83E3F9F463639C5B6CAD7F1ED36F6F18F3AE5B6FF74EB3206C461DAC4D;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.935302;-38.363786;569011.0250984265;8569933.197254289
625B5BABDBDD71FF80643456847A4A6684A749F803A465C4F981B26AED90E34B;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.936174;-38.363351;569057.9720295006;8569836.643805988
B88BD8FED92AAAD61E9FC80A2E7A1AB5302D0373EFC6EB044C6FADA377615EAE;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.934814;-38.36456;568927.1990996305;8569987.374650735
28A0407876D9A3969E1198FF62DFF2C835D41DFE6488628163D03EA080674C3A;SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.933911;-38.357885;569651.5249289485;8570085.43214364
51C5FC2A3EFB6C01C0960956687E8649DCDF4BD93C4F1D8061255E3E1083F619;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.923584;-38.356925;569758.5301665042;8571227.253686206
FE8CD2F10BCF90C7F6AB347D8441674539998BB86A3DCA59F4FF40AF24CB4383;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.93715;-38.363635;569026.896712274;8569728.782753944
B256F0884F2E18DA1573804E4D3468DAADBD725752FA642F5972E4AC7F2C0615;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.937133;-38.364394;568944.5691312784;8569730.867428117
AF8B074F9D3C32DC78D66A320A3E82E5B367A19CEF12F79EAA49736896C7DA01;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.938755;-38.365437;568830.9852680841;8569551.768220006
A5178CA5E723EFF1DA6F0EC80A2118824990625E447EC5B06F52AB7B12AB49DD;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.939293;-38.365395;568835.3936068857;8569492.258499868
DC7CF44E436B49D7B26C0EA382F06E5D5F6F7F2327267622DD7507A0F9CE7E0C;SALVADOR UMB;RESIDENCIAL;HABITADO;6;0;-12.938356;-38.366655;568698.973269377;8569596.221700583
C8FA8980D2877D451CEE0780D71F475D04E020BB17A886C60830EE006F55026C;SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.923206;-38.357354;569712.0968451374;8571269.17420643
55AA612F646A772EE4AE8EA698424569E911A2DF23B35B9E7D814DA4A33C2385;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.938504;-38.367169;568643.1771225114;8569579.992056455
62D56852954CB3B15B83B4BFB43CDC8ACD5C5743A99F8122458224908EC37B71;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.936922;-38.367203;568639.9216472466;8569754.957429273
3E714EEAFE5B922892F743E000C3C139EDB70CDAEC8E55376A733CCFC175BFAE;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.935768;-38.366329;568735.0445171179;8569882.345799517
0886228B9969A9A58A840E198E59B3CC45AE3C328FD5969993B31980FC6B099F;SALVADOR UMB;RESIDENCIAL;HABITADO;6;0;-12.94121;-38.360701;569344.0395524232;8569278.986172082
2286E14D8DB414A7B8F5A0DFD27E05FE9325781060DF6202F4C1007BDEED1640;SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.944595;-38.362421;569156.53302831;8568905.098022178
02B1C2B7DDD4C7EE2F53BAFAC4EF8EAC4826CA6B67AD3275D02FCC3C12566DCA;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.933604;-38.357624;569679.9224091264;8570119.312841084
